"MTU (UTC)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"12/01/2021 18:00 - 12/01/2021 19:00","BZN|RO","8667.00","8730.00"
"12/01/2021 19:00 - 12/01/2021 20:00","BZN|RO","8266.00","8300.00"
"12/01/2021 20:00 - 12/01/2021 21:00","BZN|RO","7633.00","7700.00"
"12/01/2021 21:00 - 12/01/2021 22:00","BZN|RO","7149.00","7230.00"
"12/01/2021 22:00 - 12/01/2021 23:00","BZN|RO","6797.00","6750.00"
"12/01/2021 23:00 - 13/01/2021 00:00","BZN|RO","6612.00","6520.00"
"13/01/2021 00:00 - 13/01/2021 01:00","BZN|RO","6468.00","6430.00"
"13/01/2021 01:00 - 13/01/2021 02:00","BZN|RO","6461.00","6400.00"
"13/01/2021 02:00 - 13/01/2021 03:00","BZN|RO","6465.00","6450.00"
"13/01/2021 03:00 - 13/01/2021 04:00","BZN|RO","6697.00","6680.00"
"13/01/2021 04:00 - 13/01/2021 05:00","BZN|RO","7190.00","7240.00"
"13/01/2021 05:00 - 13/01/2021 06:00","BZN|RO","8125.00","8100.00"
"13/01/2021 06:00 - 13/01/2021 07:00","BZN|RO","8745.00","8780.00"
"13/01/2021 07:00 - 13/01/2021 08:00","BZN|RO","9001.00","9100.00"
"13/01/2021 08:00 - 13/01/2021 09:00","BZN|RO","9052.00","9160.00"
"13/01/2021 09:00 - 13/01/2021 10:00","BZN|RO","8968.00","9080.00"
"13/01/2021 10:00 - 13/01/2021 11:00","BZN|RO","8878.00","9030.00"
"13/01/2021 11:00 - 13/01/2021 12:00","BZN|RO","8845.00","9000.00"
"13/01/2021 12:00 - 13/01/2021 13:00","BZN|RO","8693.00","8850.00"
"13/01/2021 13:00 - 13/01/2021 14:00","BZN|RO","8606.00","8720.00"
"13/01/2021 14:00 - 13/01/2021 15:00","BZN|RO","8583.00","8770.00"
"13/01/2021 15:00 - 13/01/2021 16:00","BZN|RO","8936.00","9070.00"
"13/01/2021 16:00 - 13/01/2021 17:00","BZN|RO","9016.00","9130.00"
"13/01/2021 17:00 - 13/01/2021 18:00","BZN|RO","8944.00","9030.00"
"13/01/2021 18:00 - 13/01/2021 19:00","BZN|RO","8713.00","8780.00"
"13/01/2021 19:00 - 13/01/2021 20:00","BZN|RO","8241.00","8350.00"
"13/01/2021 20:00 - 13/01/2021 21:00","BZN|RO","7625.00","7750.00"
"13/01/2021 21:00 - 13/01/2021 22:00","BZN|RO","7142.00","7230.00"
"13/01/2021 22:00 - 13/01/2021 23:00","BZN|RO","6796.00","6850.00"
"13/01/2021 23:00 - 14/01/2021 00:00","BZN|RO","6602.00","6650.00"
"14/01/2021 00:00 - 14/01/2021 01:00","BZN|RO","6551.00","6530.00"
"14/01/2021 01:00 - 14/01/2021 02:00","BZN|RO","6496.00","6500.00"
"14/01/2021 02:00 - 14/01/2021 03:00","BZN|RO","6573.00","6500.00"
"14/01/2021 03:00 - 14/01/2021 04:00","BZN|RO","6765.00","6750.00"
"14/01/2021 04:00 - 14/01/2021 05:00","BZN|RO","7262.00","7320.00"
"14/01/2021 05:00 - 14/01/2021 06:00","BZN|RO","8123.00","8250.00"
"14/01/2021 06:00 - 14/01/2021 07:00","BZN|RO","8804.00","8850.00"
