"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (RON/MWh)","Intraday Period (CET/CEST)","Intraday Price (RON/MWh)"
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|RO","Without Sequence","13.00","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|RO","Without Sequence","31.00","",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|RO","Without Sequence","155.00","",""
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|RO","Without Sequence","206.00","",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|RO","Without Sequence","206.00","",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|RO","Without Sequence","228.00","",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|RO","Without Sequence","242.38","",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|RO","Without Sequence","213.52","",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|RO","Without Sequence","217.33","",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|RO","Without Sequence","206.00","",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|RO","Without Sequence","206.00","",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|RO","Without Sequence","268.60","",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|RO","Without Sequence","271.00","",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|RO","Without Sequence","274.10","",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|RO","Without Sequence","271.00","",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|RO","Without Sequence","270.00","",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|RO","Without Sequence","228.00","",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|RO","Without Sequence","180.00","",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|RO","Without Sequence","155.00","",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|RO","Without Sequence","125.00","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|RO","Without Sequence","5.00","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|RO","Without Sequence","3.80","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|RO","Without Sequence","1.00","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|RO","Without Sequence","1.00","",""
